Initialising fast UCB table... done
Main runs
Starting run 1 with 1024 simulations... 
Time in this step 1.01733
Time in this step 1.04368
Time in this step 1.03631
Time in this step 1.05903
Time in this step 1.05257
Time in this step 1.05497
Time in this step 1.05941
Time in this step 1.08073
Time in this step 1.12416
Time in this step 1.13134
Time in this step 1.09504
Time in this step 1.08411
Time in this step 1.08064
Time in this step 1.0957
Time in this step 1.0752
Time in this step 1.09294
Time in this step 1.09408
Time in this step 1.08492
Time in this step 1.08331
Time in this step 1.07763
Time in this step 1.08746
Time in this step 1.07475
Time in this step 1.08947
Time in this step 1.0738
Time in this step 1.0874
Time in this step 1.1454
Time in this step 1.10289
Time in this step 1.11284
Time in this step 1.12353
Time in this step 1.07703
Time in this step 1.0903
Time in this step 1.12054
Time in this step 1.07263
Time in this step 1.07914
Time in this step 1.12565
Time in this step 1.09712
Time in this step 1.08556
Time in this step 1.10959
Time in this step 1.09689
Time in this step 1.06652
Time in this step 1.07117
Time in this step 1.07116
Time in this step 1.05919
Time in this step 1.06749
Time in this step 1.12214
Time in this step 1.06235
Time in this step 1.05446
Time in this step 1.06009
Time in this step 1.04811
Time in this step 1.0397
Time in this step 1.05529
Time in this step 1.05136
Time in this step 1.03756
Time in this step 1.04109
Time in this step 1.0284
Time in this step 1.04673
Time in this step 1.02747
Time in this step 1.02963
Time in this step 1.03481
Time in this step 1.04592
Time in this step 1.0484
Time in this step 1.0255
Time in this step 1.01774
Time in this step 1.0205
Time in this step 1.01908
Time in this step 1.01801
Time in this step 1.01388
Time in this step 1.01866
Time in this step 1.00853
Time in this step 1.00279
Time in this step 1.01427
Time in this step 0.989897
Time in this step 1.00046
Time in this step 0.988987
Time in this step 0.983925
Time in this step 1.00324
Time in this step 1.00025
Time in this step 0.992856
Time in this step 0.977874
Time in this step 0.972688
Time in this step 0.986895
Time in this step 0.968759
Time in this step 1.0017
Time in this step 1.06902
Time in this step 0.967487
Time in this step 0.971977
Time in this step 0.978042
Time in this step 0.955368
Time in this step 0.957324
Time in this step 0.954312
Time in this step 0.960127
Time in this step 0.961986
Time in this step 0.957014
Time in this step 0.945542
Time in this step 0.942236
Time in this step 0.932155
Time in this step 0.950659
Time in this step 0.937308
Time in this step 0.925791
Time in this step 0.936142
Time in this step 0.923619
Time in this step 0.927479
Time in this step 0.928634
Time in this step 0.908743
Time in this step 0.920313
Time in this step 0.910372
Time in this step 0.905382
Time in this step 0.925398
Time in this step 0.916626
Time in this step 0.902233
Time in this step 0.896184
Time in this step 0.893531
Time in this step 0.895124
Time in this step 0.898967
Time in this step 0.889019
Time in this step 0.902718
Time in this step 0.886276
Time in this step 0.885185
Time in this step 0.893906
Time in this step 0.873164
Time in this step 0.878005
Time in this step 0.866388
Time in this step 0.871171
Time in this step 0.877421
Time in this step 0.877295
Time in this step 0.863977
Time in this step 0.864202
Time in this step 0.867479
Time in this step 0.854661
Time in this step 0.859686
Time in this step 0.872319
Time in this step 0.845569
Time in this step 0.843001
Time in this step 0.839831
Time in this step 0.839887
Time in this step 0.836987
Time in this step 0.854849
Time in this step 0.826795
Time in this step 0.833553
Time in this step 0.831308
Time in this step 0.831495
Time in this step 0.830461
Time in this step 0.842807
Time in this step 0.815759
Time in this step 0.81887
Time in this step 0.810646
Time in this step 0.812871
Time in this step 0.806401
Time in this step 0.927267
Time in this step 0.839311
Time in this step 0.802988
Time in this step 0.80738
Time in this step 0.795937
Time in this step 0.792669
Time in this step 0.794085
Time in this step 0.787233
Time in this step 0.781899
Time in this step 0.787915
Time in this step 0.790624
Time in this step 0.776546
Time in this step 0.780774
Time in this step 0.79291
Time in this step 0.767124
Time in this step 0.77866
Time in this step 0.76939
Time in this step 0.763053
Time in this step 0.769724
Time in this step 0.774478
Time in this step 0.761856
Time in this step 0.755082
Time in this step 0.771649
Time in this step 0.809104
Time in this step 0.768228
Time in this step 0.75336
Time in this step 0.790292
Time in this step 0.791927
Time in this step 0.749475
Time in this step 0.760251
Time in this step 0.745868
Time in this step 0.747184
Time in this step 0.844345
Time in this step 0.758399
Time in this step 0.742655
Time in this step 0.741174
Time in this step 0.741187
Time in this step 0.727704
Time in this step 0.743386
Time in this step 0.735697
Time in this step 0.719337
Time in this step 0.734187
Time in this step 0.714824
Time in this step 0.717375
Time in this step 0.715233
Time in this step 0.714938
Time in this step 0.722503
Time in this step 0.705852
Time in this step 0.700433
Time in this step 0.696388
Time in this step 0.715132
Time in this step 0.691883
Time in this step 0.699295
Time in this step 0.722968
Time in this step 0.698959
Time in this step 0.688767
Time in this step 0.687002
Time in this step 0.685342
Time in this step 0.679154
Time in this step 0.684658
Time in this step 0.680592
Time in this step 0.682302
Time in this step 0.677637
Time in this step 0.671524
Time in this step 0.669555
Time in this step 0.675968
Time in this step 0.656542
Time in this step 0.664646
Time in this step 0.683304
Time in this step 0.654172
Time in this step 0.659361
Time in this step 0.657762
Time in this step 0.656436
Time in this step 0.659374
Time in this step 0.662633
Time in this step 0.643339
Time in this step 0.652353
Time in this step 0.640451
Time in this step 0.636039
Time in this step 0.631937
Time in this step 0.635641
Time in this step 0.628107
Time in this step 0.625741
Time in this step 0.636644
Time in this step 0.634376
Time in this step 0.625835
Time in this step 0.614594
Time in this step 0.619458
Time in this step 0.610847
Time in this step 0.614974
Time in this step 0.613583
Time in this step 0.609825
Time in this step 0.625468
Time in this step 0.630175
Time in this step 0.59961
Time in this step 0.601964
Time in this step 0.613596
Time in this step 0.593759
Time in this step 0.614904
Time in this step 0.591906
Time in this step 0.59419
Time in this step 0.586649
Time in this step 0.580378
Time in this step 0.582264
Time in this step 0.575871
Time in this step 0.573094
Time in this step 0.574058
Time in this step 0.568486
Time in this step 0.567241
Time in this step 0.578235
Time in this step 0.561888
Time in this step 0.564762
Time in this step 0.567758
Time in this step 0.562213
Time in this step 0.557709
Time in this step 0.551109
Time in this step 0.553502
Time in this step 0.546586
Time in this step 0.561075
Time in this step 0.545149
Time in this step 0.542934
Time in this step 0.544917
Time in this step 0.539017
Time in this step 0.536231
Time in this step 0.553138
Time in this step 0.532412
Time in this step 0.531213
Time in this step 0.5471
Time in this step 0.521297
Time in this step 0.528151
Time in this step 0.519922
Time in this step 0.527961
Time in this step 0.519584
Time in this step 0.515966
Time in this step 0.516537
Time in this step 0.516982
Time in this step 0.51753
Time in this step 0.514975
Time in this step 0.508835
Time in this step 0.504988
Time in this step 0.498791
Time in this step 0.496803
Time in this step 0.500901
Time in this step 0.49553
Time in this step 0.490279
Time in this step 0.503699
Time in this step 0.491774
Time in this step 0.491831
Time in this step 0.484788
Time in this step 0.486208
Time in this step 0.491674
Time in this step 0.478078
Time in this step 0.473837
Time in this step 0.48225
Time in this step 0.487756
Time in this step 0.489309
Time in this step 0.474514
Time in this step 0.48384
Time in this step 0.465427
Time in this step 0.474319
Time in this step 0.46418
Time in this step 0.469209
Time in this step 0.466264
Time in this step 0.46093
Time in this step 0.459074
Time in this step 0.454111
Time in this step 0.439495
Time in this step 0.451767
Time in this step 0.44141
Time in this step 0.445733
Time in this step 0.43856
Time in this step 0.441325
Time in this step 0.441031
Time in this step 0.435771
Time in this step 0.430908
Time in this step 0.437083
Time in this step 0.431866
Time in this step 0.425922
Time in this step 0.439708
Time in this step 0.421181
Time in this step 0.421588
Time in this step 0.408205
Time in this step 0.416472
Time in this step 0.410719
Time in this step 0.415526
Time in this step 0.411343
Time in this step 0.405817
Time in this step 0.410901
Time in this step 0.401587
Time in this step 0.414733
Time in this step 0.400445
Time in this step 0.399615
Time in this step 0.397129
Time in this step 0.397129
Time in this step 0.387963
Time in this step 0.390157
Time in this step 0.389711
Time in this step 0.387555
Time in this step 0.383518
Time in this step 0.386299
Time in this step 0.379746
Time in this step 0.385765
Time in this step 0.37452
Time in this step 0.380465
Time in this step 0.378129
Time in this step 0.369041
Time in this step 0.367021
Time in this step 0.366232
Time in this step 0.348566
Time in this step 0.355396
Time in this step 0.349041
Time in this step 0.347066
Time in this step 0.362168
Time in this step 0.366149
Time in this step 0.342986
Time in this step 0.343881
Time in this step 0.347956
Time in this step 0.354545
Time in this step 0.337924
Time in this step 0.346721
Time in this step 0.336266
Time in this step 0.335439
Time in this step 0.334766
Time in this step 0.335129
Time in this step 0.326455
Time in this step 0.336752
Time in this step 0.331151
Time in this step 0.325173
Time in this step 0.323536
Time in this step 0.323734
Time in this step 0.323742
Time in this step 0.31727
Time in this step 0.322365
Time in this step 0.420255
Time in this step 0.374983
Time in this step 0.349825
Time in this step 0.333935
Time in this step 0.312155
Time in this step 0.322278
Time in this step 0.315192
Time in this step 0.303136
Time in this step 0.300442
Time in this step 0.301784
Time in this step 0.29764
Time in this step 0.313973
Time in this step 0.321644
Time in this step 0.327748
Time in this step 0.329034
Time in this step 0.320019
Time in this step 0.345531
Time in this step 0.310102
Time in this step 0.290726
Time in this step 0.291769
Time in this step 0.289873
Time in this step 0.285871
Time in this step 0.277013
Time in this step 0.278237
Time in this step 0.264288
Time in this step 0.265727
Time in this step 0.263815
Time in this step 0.265233
Time in this step 0.261854
Time in this step 0.258498
Time in this step 0.256853
Time in this step 0.259934
Time in this step 0.252275
Time in this step 0.264582
Time in this step 0.252093
Time in this step 0.253174
Time in this step 0.243508
Time in this step 0.24452
Time in this step 0.243632
Time in this step 0.243701
Time in this step 0.246577
Time in this step 0.247105
Time in this step 0.238125
Time in this step 0.232338
Time in this step 0.240443
Time in this step 0.243283
Time in this step 0.231614
Time in this step 0.233275
Time in this step 0.230827
Time in this step 0.230522
Time in this step 0.222797
Time in this step 0.223291
Time in this step 0.222147
Time in this step 0.223346
Time in this step 0.221858
Time in this step 0.221194
Time in this step 0.21836
Time in this step 0.219147
Time in this step 0.215566
Time in this step 0.212833
Time in this step 0.214029
Time in this step 0.22239
Time in this step 0.207626
Time in this step 0.215837
Time in this step 0.200562
Time in this step 0.197346
Time in this step 0.195222
Time in this step 0.200945
Time in this step 0.194478
Time in this step 0.194288
Time in this step 0.195606
Time in this step 0.190711
Time in this step 0.186715
Time in this step 0.192679
Time in this step 0.18224
Time in this step 0.17785
Time in this step 0.177728
Time in this step 0.179311
Time in this step 0.177839
Time in this step 0.174156
Time in this step 0.1745
Time in this step 0.168041
Time in this step 0.172331
Time in this step 0.152721
Time in this step 0.15578
Time in this step 0.212673
Time in this step 0.196923
Time in this step 0.137301
Terminated
Discounted return = 156, average = 156
Undiscounted return = 156, average = 156
Starting run 2 with 1024 simulations... 
Time in this step 1.28007
Time in this step 1.27166
Time in this step 1.27598
Time in this step 1.27573
Time in this step 1.27183
Time in this step 1.29591
Time in this step 1.26359
Time in this step 1.27598
Time in this step 1.25007
Time in this step 1.25612
Time in this step 1.25022
Time in this step 1.26752
Time in this step 1.27354
Time in this step 1.25301
Time in this step 1.26016
Time in this step 1.26263
Time in this step 1.25287
Time in this step 1.25028
Time in this step 1.23101
Time in this step 1.25577
Time in this step 1.23373
Time in this step 1.24259
Time in this step 1.26012
Time in this step 1.3823
Time in this step 1.22411
Time in this step 1.24342
Time in this step 1.26908
Time in this step 1.24015
Time in this step 1.25441
Time in this step 1.20605
Time in this step 1.20753
Time in this step 1.23687
Time in this step 1.21872
Time in this step 1.08091
Time in this step 1.08834
Time in this step 1.06574
Time in this step 1.08641
Time in this step 1.0789
Time in this step 1.07001
Time in this step 1.06119
Time in this step 1.05906
Time in this step 1.09165
Time in this step 1.06549
Time in this step 1.05749
Time in this step 1.05028
Time in this step 1.06894
Time in this step 1.05669
Time in this step 1.05393
Time in this step 1.04136
Time in this step 1.05591
Time in this step 1.0808
Time in this step 1.03825
Time in this step 1.02864
Time in this step 1.03697
Time in this step 1.04251
Time in this step 1.03783
Time in this step 1.03275
Time in this step 1.02767
Time in this step 1.02161
Time in this step 1.00967
Time in this step 1.03155
Time in this step 1.21574
Time in this step 1.01607
Time in this step 1.01665
Time in this step 1.07933
Time in this step 1.02506
Time in this step 1.04116
Time in this step 1.00668
Time in this step 1.00758
Time in this step 0.992967
